,Time,Sha,User,Message
104,1456305937.0,490db6d6e4895ac77553cae6838830b51fc7dc9e,Person 1,Delete StatementExecutor.java
105,1456305931.0,fbac2805244f807eaa017fa136d5eff7cd6309f7,Person 1,Delete QueryResultSet.java
106,1456305926.0,b7e0df884b1d82f53de9e92e67aeada5e3acb4d4,Person 1,Delete HashService.java
107,1456305919.0,6c30bceefd5159dad3e7334fb0af9d18a94ec87a,Person 1,Delete DatabaseConnectionService.java
108,1456305914.0,f28cc17ee38206be754cfb8626f88fabe8779a83,Person 1,Delete DatabaseConnection.java
109,1456305900.0,1d649da39b1bde48fa73216fa3773462e3e6c8e0,Person 1,Delete LoginHelper.class
110,1456305894.0,ec0107ef31d78dc85389c7fe235c85a822367f8a,Person 1,Delete Login.class
111,1456305888.0,98cb10c6803d76f99a79cca263da30c75d8a05ed,Person 1,Delete MsHelper.class
112,1456305881.0,4053e3be29748cfba12f541261b7ab9fc0afb8aa,Person 1,Delete ImsHelp.class
113,1456305875.0,1687ff982ac1ea9549584364ceb9e82a69fe5dd5,Person 1,Delete IStatementExecutor.class
114,1456305871.0,5cf461783c5a0e93208076d9df7a8a27ae8ff658,Person 1,Delete IQueryResultSet.class
115,1456305867.0,17e02b456858ffeb8a057735999ce084ef5e98dc,Person 1,Delete IHashService.class
116,1456305862.0,935a9cf567117919813c5ce03977fd034683d404,Person 1,Delete IDatabaseConnection.class
117,1456305856.0,0cb85444f08cc8657256a83ed6ef6ff5abff62c8,Person 1,Delete StatementExecutor.class
118,1456305850.0,77efb83edbd3e5ed3679fdfee9ab6dd6d5756ba4,Person 1,Delete QueryResultSet.class
119,1456305844.0,d84423fe17c71faf9d86c5ac0e7c803fe4cb923b,Person 1,Delete HashService.class
120,1456305839.0,28e7de8062381cbfaa0af5d337fd2ef9bf03c5f3,Person 1,Delete DatabaseConnectionService.class
121,1456305833.0,21787a8612403d3b837dd61d9f272cd78daefd57,Person 1,Delete DatabaseConnection.class
122,1456305588.0,a0172081cf2bc9d5263a296ebea39983aef1f8da,Person 1,"Delete ms.txt

Have to change Unity ID from INT to VARCHAR"
123,1456305502.0,2cdc50694559cf7078deb1ca8cf09d087f268779,Person 1,"Added files via upload

Updated DBScripts to create 2 tables - Student Info and MS (Master of Science) track"
124,1456305201.0,b816ff1aec83712f3170711d86a885d83a84b880,Person 1,"Delete ms.txt

I used integer for Unity ID, instead of varchar"
125,1456305113.0,0113a46dc87c1886c6ee831d9be698760e615c7c,Person 1,Added files via upload
126,1456305038.0,bdaf7a69f2b91e496549a79a03718a456f115d7e,Person 1,Delete stud_info.png
127,1456305032.0,7ff7d279b5eaa33c6859f722b47d08a604b56962,Person 1,Delete MS.png
128,1456305018.0,938181c2b4118da8dedc7218e3c8f5642726217e,Person 1,Delete stud_info.png
129,1456305013.0,3c695b840215a11a4b3330d50fbdc46266a46fdb,Person 1,Delete MS.png
