,action,closed_at,created_at,group_id,issue_id,label_name,milestone_closed_at,milestone_closed_issues,milestone_created_at,milestone_creator,milestone_due_on,milestone_id,milestone_open_issues,milestone_state,milestone_title,state,title,user
140,labeled,1456634972.0,1456631398.0,Repo 3,45,enhancement,None,None,None,None,None,None,None,None,None,closed,Add an 'About' Page,Person 4
141,labeled,1457034473.0,1456535072.0,Repo 3,40,enhancement,None,None,None,None,None,None,None,None,None,closed,fix unfortunately stopped error on close,Person 3
142,labeled,1456940385.0,1456535061.0,Repo 3,41,enhancement,None,None,None,None,None,None,None,None,None,closed,show availability of parking spots on click of markers,Person 3
143,labeled,1456619288.0,1456535016.0,Repo 3,42,enhancement,-1,3,-1,Person 3,-1,15,0,open,Have a login and Signup,closed,create a login screen with authentication,Person 3
144,labeled,1456619300.0,1456535000.0,Repo 3,43,enhancement,-1,3,-1,Person 3,-1,15,0,open,Have a login and Signup,closed,Create a signup screen for users,Person 3
145,labeled,1456940318.0,1456534982.0,Repo 3,44,bug,-1,3,-1,Person 3,-1,15,0,open,Have a login and Signup,closed,the SQLite is having issues with signup.. fix them ASAP,Person 3
146,labeled,-1.0,1456349081.0,Repo 3,35,question,None,None,None,None,None,None,None,None,None,open,LYNDA.com - Please Note Everybody,Person 2
147,labeled,1456940422.0,1456348500.0,Repo 3,34,question,-1,3,-1,Person 2,1456635600.0,12,0,open,Save NCSU Parking Locations,closed,Discussion - How to save data,Person 2
148,labeled,1456940535.0,1456348256.0,Repo 3,33,question,-1,1,-1,Person 2,1456635600.0,14,0,open,Introduce DESIGN to parking lots,closed,Design Discussion,Person 2
149,labeled,1457110301.0,1456347533.0,Repo 3,7,question,-1,3,-1,Person 2,1456635600.0,12,0,open,Save NCSU Parking Locations,closed,Find all NCSU parking sites,Person 2
150,labeled,1456940578.0,1456347516.0,Repo 3,32,enhancement,-1,3,-1,Person 2,1456635600.0,12,0,open,Save NCSU Parking Locations,closed,Find a way to save the LOCATIONS found in the app,Person 2
151,labeled,1456278440.0,1456277828.0,Repo 3,27,enhancement,-1,5,-1,Person 3,1456635600.0,9,1,open,App opens with a biased location wrt campus,closed,Add Marker functionality ,Person 2
152,labeled,1456236649.0,1456235494.0,Repo 3,25,enhancement,1456347789.0,4,1456231568.0,Person 2,1456376400.0,11,0,closed,Implement User Current Location Feature,closed,Implement a periodic current location listener,Person 2
153,labeled,1456235345.0,1456232064.0,Repo 3,23,enhancement,1456347789.0,4,1456231568.0,Person 2,1456376400.0,11,0,closed,Implement User Current Location Feature,closed,Implement the User Current Location feature programatically,Person 2
154,labeled,1456276581.0,1456231702.0,Repo 3,21,help wanted,1456347789.0,4,1456231568.0,Person 2,1456376400.0,11,0,closed,Implement User Current Location Feature,closed,Android Mobile Device/Tablet required for this feature testing,Person 2
155,labeled,1456231967.0,1456231592.0,Repo 3,20,enhancement,1456347789.0,4,1456231568.0,Person 2,1456376400.0,11,0,closed,Implement User Current Location Feature,closed,User Current Location Feature,Person 2
156,labeled,-1.0,1456231532.0,Repo 3,19,question,-1,5,-1,Person 3,1456635600.0,9,1,open,App opens with a biased location wrt campus,open,To check if we can normalise current location and ncsu parking locations for map home screen,Person 2
157,labeled,1456230422.0,1456230251.0,Repo 3,17,bug,-1,5,-1,Person 3,1456635600.0,9,1,open,App opens with a biased location wrt campus,closed,Zoom level 12 insufficient,Person 2
158,labeled,1456229128.0,1456227966.0,Repo 3,15,bug,-1,5,-1,Person 3,1456635600.0,9,1,open,App opens with a biased location wrt campus,closed,Hardcoded code in activity_map.xml,Person 2
159,labeled,1456226720.0,1456223415.0,Repo 3,12,bug,-1,5,-1,Person 3,1456635600.0,9,1,open,App opens with a biased location wrt campus,closed,Map opens with a satellite mode,Person 2
160,labeled,1456223506.0,1456223111.0,Repo 3,11,enhancement,-1,5,-1,Person 3,1456635600.0,9,1,open,App opens with a biased location wrt campus,closed,App is not opening with proper location,Person 2
